SubscriptionName,ResourceId,BillingMonth,Quantity_Compute,Quantity_Storage,Quantity_API,CostInBillingCurrency,ConsumedService,MeterName
Finance-Systems,app-0778754,2026-06,1151.2,0.0,0,175.08,App Service,Web app B1
Production-Secondary,blob-07ab764,2026-06,0.0,2224.9,5933011,289.23,Blob Storage,Build artifacts
Finance-Systems,blob-0e03178,2026-06,0.0,2407.4,6018551,391.2,Blob Storage,Media content
Customer-Portal,cosmos-0404793,2026-06,734.5,51.0,15303292,497.36,Cosmos DB,Config store
Customer-Portal,fd-0908832,2026-06,0.0,0.0,63530865,476.48,Front Door,Global load balancer
Shared-Services,sb-0bf8929,2026-06,535.2,0.0,7434550,407.04,Service Bus,Premium messaging
Shared-Services,ado-0997765,2026-06,512.2,0.0,0,256.04,Azure DevOps,Pipelines hosted
Analytics-Platform,kv-00c2112,2026-06,0.0,0.0,1543622,4.63,Key Vault,Secrets management
Mobile-Backend,vm-0348464,2026-06,629.1,0.0,0,2296.22,Virtual Machines,E8s v3 memory-optimized
Shared-Services,vm-01bb143,2026-06,681.2,0.0,0,207.19,Virtual Machines,B2s development VM
DevOps-Central,appi-06d6774,2026-06,0.0,0.0,15219563,190.25,Application Insights,Custom metrics
Internal-Tools,aks-05a1845,2026-06,232.1,0.0,0,348.2,AKS,Dev K8s cluster
Internal-Tools,aks-0295462,2026-06,258.6,0.0,0,387.93,AKS,Dev K8s cluster
Production-Secondary,blob-0e56225,2026-06,0.0,13476.4,33690,107.81,Blob Storage,Archive tier
Customer-Portal,func-1175826,2026-06,0.0,0.0,2855822,42.84,Azure Functions,Webhook processor
DevOps-Central,kv-073f461,2026-06,0.0,0.0,326406,0.99,Key Vault,Certificate store
DevOps-Central,sentinel-0612533,2026-06,0.0,0.0,118423731,2960.6,Microsoft Sentinel,SIEM detection
Production-Secondary,acr-0964375,2026-06,0.0,245.2,490352,161.82,Container Registry,Docker image registry
Production-Main,aks-0a3c748,2026-06,1111.5,0.0,0,1667.21,AKS,Staging K8s cluster
Finance-Systems,vm-04f6533,2026-06,824.9,0.0,0,2007.11,Virtual Machines,D8s v3 application server
Finance-Systems,aks-04b2652,2026-06,1314.8,0.0,0,1972.29,AKS,Staging K8s cluster
DevOps-Central,vm-0f6a520,2026-06,935.3,0.0,0,568.96,Virtual Machines,D2s v3 utility server
DevOps-Central,blob-044f248,2026-06,0.0,9456.3,3546112,502.36,Blob Storage,Data lake storage
Finance-Systems,blob-020b988,2026-06,0.0,2346.2,5865540,381.26,Blob Storage,Media content
DevOps-Central,appi-0fc8335,2026-06,0.0,0.0,72802274,910.02,Application Insights,APM telemetry
Production-Main,ado-0040969,2026-06,647.3,0.0,0,323.63,Azure DevOps,Pipelines hosted
Customer-Portal,kv-1009619,2026-06,0.0,0.0,401166,1.2,Key Vault,Certificate store
Production-Secondary,redis-0b3e355,2026-06,1000.0,0.0,0,1216.67,Azure Cache for Redis,Premium P1 cache
Shared-Services,fd-0ad2606,2026-06,0.0,0.0,56499502,423.75,Front Door,Global load balancer
Customer-Portal,cosmos-04b7344,2026-06,626.7,43.5,13056424,424.34,Cosmos DB,Config store
Customer-Portal,sb-0266467,2026-06,773.0,0.0,10735550,587.77,Service Bus,Premium messaging
Shared-Services,vm-0dc1116,2026-06,659.2,0.0,0,1202.97,Virtual Machines,E4s v3 SIEM collector
Production-Secondary,app-0bbf989,2026-06,701.0,0.0,0,106.61,App Service,Web app B1
Finance-Systems,sentinel-0f92956,2026-06,0.0,0.0,121142740,3028.57,Microsoft Sentinel,SIEM detection
Production-Main,sentinel-0d04759,2026-06,0.0,0.0,51146645,1278.67,Microsoft Sentinel,Log analytics
Customer-Portal,func-100b422,2026-06,0.0,0.0,3071483,46.07,Azure Functions,Webhook processor
Analytics-Platform,eh-0f6c240,2026-06,0.0,325.9,0,81.49,Event Hubs,Capture to storage
Production-Main,aks-0c17786,2026-06,670.1,0.0,0,3015.6,AKS,Production K8s cluster
Production-Main,aks-0021897,2026-06,585.4,0.0,0,2634.39,AKS,Production K8s cluster
Production-Main,blob-0030160,2026-06,0.0,23909.8,59774,191.28,Blob Storage,Archive tier
Internal-Tools,blob-0d60166,2026-06,0.0,11140.9,111409,334.23,Blob Storage,Backup storage
Analytics-Platform,eh-00c5982,2026-06,631.2,0.0,26302046,288.01,Event Hubs,Standard throughput units
Analytics-Platform,kv-051b219,2026-06,0.0,0.0,1600959,4.8,Key Vault,Secrets management
Mobile-Backend,azmon-08f3239,2026-06,0.0,300.1,40018048,425.19,Azure Monitor,Logs and metrics
Shared-Services,func-0949366,2026-06,0.0,0.0,8663519,129.95,Azure Functions,Event processors
Partner-Integration,azmon-0fe9839,2026-06,0.0,230.6,30744417,326.67,Azure Monitor,Logs and metrics
DevOps-Central,vm-00dc778,2026-06,753.7,0.0,0,1375.53,Virtual Machines,E4s v3 SIEM collector
Production-Main,sentinel-10d5584,2026-06,0.0,0.0,82342242,2058.56,Microsoft Sentinel,SIEM detection
Customer-Portal,vm-0db6424,2026-06,543.8,0.0,0,992.36,Virtual Machines,E4s v3 SIEM collector
Analytics-Platform,eh-0929123,2026-06,493.7,0.0,20575249,225.3,Event Hubs,Standard throughput units
Shared-Services,sb-0606905,2026-06,616.9,0.0,8568667,469.13,Service Bus,Premium messaging
Partner-Integration,azmon-058d378,2026-06,0.0,277.3,36972886,392.84,Azure Monitor,Logs and metrics
Production-Main,blob-0b36257,2026-06,0.0,2959.5,7892033,384.74,Blob Storage,Build artifacts
Partner-Integration,sb-0e5f113,2026-06,615.9,0.0,8554015,468.33,Service Bus,Premium messaging
Customer-Portal,cosmos-0a9e872,2026-06,989.7,68.6,20617918,670.09,Cosmos DB,Config store
Mobile-Backend,vm-0343411,2026-06,911.0,0.0,0,2216.84,Virtual Machines,D8s v3 application server
Shared-Services,app-01c0794,2026-06,931.7,0.0,0,566.8,App Service,Web app P1v3
Finance-Systems,app-0541727,2026-06,944.0,0.0,0,1148.53,App Service,API app P2v3
Internal-Tools,blob-0fa5145,2026-06,0.0,3231.4,8617174,420.09,Blob Storage,Build artifacts
Partner-Integration,sqldb-0be5862,2026-06,1181.3,410.2,0,1976.64,SQL Database,Standard S3 production
DR-Recovery,eh-09d6470,2026-06,0.0,509.7,0,127.41,Event Hubs,Capture to storage
DevOps-Central,redis-055b854,2026-06,869.2,0.0,0,1057.57,Azure Cache for Redis,Premium P1 cache
Production-Main,vm-0d79829,2026-06,419.9,0.0,0,3831.65,Virtual Machines,NC6s v3 GPU VM
Internal-Tools,cosmos-02a2437,2026-06,909.3,126.3,31571338,1183.93,Cosmos DB,Event store
Production-Main,aks-107b512,2026-06,1350.7,0.0,0,2026.08,AKS,Staging K8s cluster
Production-Secondary,sqldb-118a991,2026-06,483.6,167.9,0,809.18,SQL Database,Standard S3 production
Customer-Portal,azmon-0d29230,2026-06,0.0,210.0,28001450,297.52,Azure Monitor,Logs and metrics
Mobile-Backend,azmon-0dc6635,2026-06,0.0,280.0,37337574,396.71,Azure Monitor,Logs and metrics
Production-Secondary,sb-0d13494,2026-06,823.6,0.0,11439058,626.29,Service Bus,Premium messaging
Production-Secondary,redis-0875552,2026-06,781.1,0.0,0,950.42,Azure Cache for Redis,Premium P1 cache
Partner-Integration,sqldb-0577751,2026-06,914.5,317.5,0,1530.18,SQL Database,Standard S3 production
DR-Recovery,appi-0faf736,2026-06,0.0,0.0,23689181,296.12,Application Insights,Custom metrics
Finance-Systems,cosmos-05bd564,2026-06,537.1,149.1,29837585,1212.15,Cosmos DB,User data store
Finance-Systems,cosmos-0bc5468,2026-06,419.3,116.4,23293420,946.29,Cosmos DB,User data store
Production-Secondary,sqldb-0afe717,2026-06,445.1,154.5,0,744.77,SQL Database,Standard S3 production
Production-Secondary,sqldb-0d9f715,2026-06,480.0,166.6,0,803.26,SQL Database,Standard S3 production
DevOps-Central,blob-0a8f732,2026-06,0.0,4734.9,0,473.49,Blob Storage,Security audit logs
DevOps-Central,sqldb-0d3e220,2026-06,685.9,238.1,0,1147.76,SQL Database,Standard S3 production
Shared-Services,vm-05f4840,2026-06,871.1,0.0,0,1059.82,Virtual Machines,D4s v3 CI runner
Customer-Portal,cosmos-0254162,2026-06,655.5,91.0,22758766,853.45,Cosmos DB,Event store
Internal-Tools,appi-029f352,2026-06,0.0,0.0,17523796,219.05,Application Insights,Custom metrics
Shared-Services,cosmos-05d3731,2026-06,574.1,79.7,19933239,747.5,Cosmos DB,Event store
Shared-Services,vm-0446739,2026-06,740.9,0.0,0,901.37,Virtual Machines,D4s v3 CI runner
Partner-Integration,appi-097e230,2026-06,0.0,0.0,70359052,879.49,Application Insights,APM telemetry
Production-Main,sentinel-0036541,2026-06,0.0,0.0,76785156,1919.63,Microsoft Sentinel,SIEM detection
Customer-Portal,eh-0699582,2026-06,0.0,547.1,0,136.77,Event Hubs,Capture to storage
Production-Secondary,redis-0609368,2026-06,925.8,0.0,0,1126.41,Azure Cache for Redis,Premium P1 cache
Production-Secondary,blob-005c665,2026-06,0.0,7667.6,2875353,407.34,Blob Storage,Data lake storage
Security-Ops,vm-0160506,2026-06,682.5,0.0,0,2491.13,Virtual Machines,E8s v3 memory-optimized
Production-Secondary,blob-005b954,2026-06,0.0,10819.1,108191,324.57,Blob Storage,Backup storage
Analytics-Platform,aks-05f7197,2026-06,1351.2,0.0,0,2026.84,AKS,Staging K8s cluster
DevOps-Central,blob-00db441,2026-06,0.0,9435.7,94357,283.07,Blob Storage,Backup storage
Customer-Portal,blob-0ee9309,2026-06,0.0,4611.8,0,461.18,Blob Storage,Security audit logs
Finance-Systems,blob-09be448,2026-06,0.0,1962.2,4905479,318.85,Blob Storage,Media content
Production-Main,blob-002d702,2026-06,0.0,2810.0,7493279,365.3,Blob Storage,Build artifacts
Shared-Services,vm-01b7776,2026-06,544.4,0.0,0,993.45,Virtual Machines,E4s v3 SIEM collector
Internal-Tools,eh-02a4811,2026-06,0.0,462.2,0,115.56,Event Hubs,Capture to storage
Production-Main,eh-0640655,2026-06,0.0,719.9,0,179.98,Event Hubs,Capture to storage
Finance-Systems,fd-115e311,2026-06,0.0,0.0,52694443,395.21,Front Door,Global load balancer
Shared-Services,cosmos-0afb701,2026-06,656.6,91.2,22800007,855.0,Cosmos DB,Event store
Finance-Systems,appi-0409195,2026-06,0.0,0.0,50603528,632.55,Application Insights,APM telemetry
Partner-Integration,blob-03ad516,2026-06,0.0,13394.0,133940,401.82,Blob Storage,Backup storage
DevOps-Central,vm-00de137,2026-06,591.5,0.0,0,5397.69,Virtual Machines,NC6s v3 GPU VM
Mobile-Backend,sqldb-034a278,2026-06,917.3,318.5,0,1534.99,SQL Database,Standard S3 production
Shared-Services,appi-01b5631,2026-06,0.0,0.0,26940346,336.75,Application Insights,Custom metrics
Shared-Services,vm-0a13145,2026-06,721.5,0.0,0,2633.43,Virtual Machines,E8s v3 memory-optimized
Mobile-Backend,vm-0346435,2026-06,925.3,0.0,0,1313.93,Virtual Machines,F4s v2 compute node
Finance-Systems,func-0f8a387,2026-06,0.0,0.0,6317522,94.77,Azure Functions,API handlers
Production-Secondary,redis-1100231,2026-06,819.8,0.0,0,997.41,Azure Cache for Redis,Premium P1 cache
Partner-Integration,sb-0cac510,2026-06,644.5,0.0,8951569,490.1,Service Bus,Premium messaging
Mobile-Backend,aks-0339617,2026-06,398.4,0.0,0,597.53,AKS,Dev K8s cluster
Shared-Services,eh-0962257,2026-06,0.0,693.5,0,173.36,Event Hubs,Capture to storage
Mobile-Backend,sb-0e69292,2026-06,0.0,0.0,16309551,40.77,Service Bus,Standard messaging
Internal-Tools,sentinel-02a0411,2026-06,0.0,0.0,77488065,1937.2,Microsoft Sentinel,SIEM detection
Partner-Integration,blob-03ac316,2026-06,0.0,1663.1,4157774,270.26,Blob Storage,Media content
Internal-Tools,sentinel-0a7f164,2026-06,0.0,0.0,33431580,835.79,Microsoft Sentinel,Log analytics
Analytics-Platform,redis-0829391,2026-06,471.3,0.0,0,573.47,Azure Cache for Redis,Premium P1 cache
Customer-Portal,eh-0e73541,2026-06,0.0,611.5,0,152.87,Event Hubs,Capture to storage
Shared-Services,func-091a460,2026-06,0.0,0.0,10987375,164.81,Azure Functions,API handlers
Customer-Portal,vm-116f206,2026-06,590.7,0.0,0,1077.93,Virtual Machines,E4s v3 SIEM collector
Customer-Portal,vm-0d1f996,2026-06,542.8,0.0,0,330.16,Virtual Machines,D2s v3 utility server
Production-Secondary,sqldb-0917961,2026-06,428.4,148.7,0,716.85,SQL Database,Standard S3 production
Production-Secondary,redis-0063919,2026-06,939.8,0.0,0,476.41,Azure Cache for Redis,Standard C2 cache
Partner-Integration,appi-03a3584,2026-06,0.0,0.0,55020813,687.76,Application Insights,APM telemetry
Shared-Services,func-042c439,2026-06,0.0,0.0,10966535,164.5,Azure Functions,API handlers
Customer-Portal,sb-0d6e915,2026-06,0.0,0.0,15700383,39.25,Service Bus,Standard messaging
Production-Secondary,blob-0da3800,2026-06,0.0,2738.4,7302385,355.99,Blob Storage,Build artifacts
Production-Secondary,sqldb-0655765,2026-06,526.4,182.9,0,880.91,SQL Database,Standard S3 production
Shared-Services,sb-0d2f609,2026-06,561.8,0.0,7804605,427.3,Service Bus,Premium messaging
Partner-Integration,sb-103f867,2026-06,610.3,0.0,8475709,464.04,Service Bus,Premium messaging
Internal-Tools,vm-029d382,2026-06,588.3,0.0,0,178.93,Virtual Machines,B2s development VM
DR-Recovery,azmon-07f2353,2026-06,0.0,288.4,38450879,408.55,Azure Monitor,Logs and metrics
Finance-Systems,func-021c663,2026-06,0.0,0.0,5629016,84.44,Azure Functions,API handlers
DevOps-Central,sqldb-00e4234,2026-06,638.6,221.7,0,1068.58,SQL Database,Standard S3 production
Customer-Portal,fd-0efe463,2026-06,0.0,0.0,64681090,485.1,Front Door,Global load balancer
Internal-Tools,blob-1061535,2026-06,0.0,6644.0,0,664.4,Blob Storage,Security audit logs
Shared-Services,func-0c05155,2026-06,0.0,0.0,9614397,144.21,Azure Functions,Event processors
Shared-Services,appi-05e6663,2026-06,0.0,0.0,42673492,533.42,Application Insights,APM telemetry
Production-Secondary,aks-1097469,2026-06,481.3,0.0,0,2165.74,AKS,Production K8s cluster
Customer-Portal,blob-0a49959,2026-06,0.0,5542.5,0,554.25,Blob Storage,Security audit logs
Internal-Tools,blob-029b273,2026-06,0.0,5898.6,0,589.86,Blob Storage,Security audit logs
Production-Secondary,app-0bcc721,2026-06,676.8,0.0,0,102.93,App Service,Web app B1
Production-Secondary,sqldb-0f87366,2026-06,463.0,160.7,0,774.7,SQL Database,Standard S3 production
Production-Main,redis-0e3f197,2026-06,835.0,0.0,0,1015.9,Azure Cache for Redis,Premium P1 cache
Production-Secondary,blob-0944504,2026-06,0.0,11473.4,114733,344.2,Blob Storage,Backup storage
Customer-Portal,vm-025c560,2026-06,543.9,0.0,0,992.53,Virtual Machines,E4s v3 SIEM collector
Shared-Services,app-04bc337,2026-06,1004.8,0.0,0,611.26,App Service,Web app P1v3
Mobile-Backend,vm-0344813,2026-06,920.5,0.0,0,1119.94,Virtual Machines,D4s v3 CI runner
Mobile-Backend,acr-1172245,2026-06,0.0,243.1,486116,160.42,Container Registry,Docker image registry
Shared-Services,sb-0506723,2026-06,605.4,0.0,8408328,460.35,Service Bus,Premium messaging
Internal-Tools,blob-07c1390,2026-06,0.0,3338.1,8901490,433.95,Blob Storage,Build artifacts
Production-Secondary,blob-109a113,2026-06,0.0,7197.8,2699199,382.38,Blob Storage,Data lake storage
Production-Secondary,aks-07b8164,2026-06,501.9,0.0,0,2258.46,AKS,Production K8s cluster
Production-Secondary,blob-0df7960,2026-06,0.0,2081.1,5202816,338.19,Blob Storage,Media content
Production-Secondary,cosmos-0794762,2026-06,584.6,81.2,20298539,761.19,Cosmos DB,Event store
Finance-Systems,blob-0e84394,2026-06,0.0,8398.3,83980,251.94,Blob Storage,Backup storage
DR-Recovery,appi-0c93294,2026-06,0.0,0.0,15436945,192.97,Application Insights,Custom metrics
Partner-Integration,ado-1163263,2026-06,676.1,0.0,0,338.1,Azure DevOps,Pipelines hosted
Data-Science,appi-014d674,2026-06,0.0,0.0,20007573,250.09,Application Insights,Custom metrics
Customer-Portal,func-025f994,2026-06,0.0,0.0,561022,8.42,Azure Functions,Timer triggers
DevOps-Central,redis-0cc8842,2026-06,731.2,0.0,0,889.6,Azure Cache for Redis,Premium P1 cache
Analytics-Platform,ado-0af3187,2026-06,0.0,118.3,0,29.58,Azure DevOps,Artifacts storage
Partner-Integration,ado-03a9963,2026-06,0.0,91.8,0,22.94,Azure DevOps,Artifacts storage
Production-Main,app-0e07775,2026-06,714.8,0.0,0,108.71,App Service,Web app B1
Partner-Integration,azmon-0bc1733,2026-06,0.0,234.7,31294014,332.51,Azure Monitor,Logs and metrics
Finance-Systems,blob-0f8b380,2026-06,0.0,2245.8,5614642,364.95,Blob Storage,Media content
Internal-Tools,blob-0573578,2026-06,0.0,12206.1,122061,366.18,Blob Storage,Backup storage
Shared-Services,sb-10bc304,2026-06,574.9,0.0,7984625,437.15,Service Bus,Premium messaging
Mobile-Backend,fd-0500920,2026-06,0.0,0.0,45671297,342.53,Front Door,Global load balancer
Partner-Integration,appi-1065534,2026-06,0.0,0.0,47412457,592.66,Application Insights,APM telemetry
Finance-Systems,blob-020c758,2026-06,0.0,3613.9,9637177,469.81,Blob Storage,Build artifacts
Finance-Systems,fd-0212792,2026-06,0.0,0.0,47118712,353.39,Front Door,Global load balancer
Finance-Systems,blob-04ed338,2026-06,0.0,8118.0,3044272,431.27,Blob Storage,Data lake storage
Mobile-Backend,fd-06a9855,2026-06,0.0,0.0,49736945,373.02,Front Door,Global load balancer
Production-Secondary,redis-0d6b439,2026-06,1052.4,0.0,0,1280.43,Azure Cache for Redis,Premium P1 cache
Shared-Services,eh-01b2547,2026-06,0.0,629.8,0,157.44,Event Hubs,Capture to storage
Internal-Tools,blob-05a7913,2026-06,0.0,3192.7,8513881,415.05,Blob Storage,Build artifacts
Shared-Services,sb-07fc849,2026-06,526.7,0.0,7315301,400.51,Service Bus,Premium messaging
Finance-Systems,blob-07c8190,2026-06,0.0,2115.9,5289801,343.83,Blob Storage,Media content
Production-Secondary,appi-10d8998,2026-06,0.0,0.0,35605647,445.07,Application Insights,APM telemetry
Production-Secondary,aks-0058383,2026-06,1435.0,0.0,0,2152.45,AKS,Staging K8s cluster
Customer-Portal,ado-0265894,2026-06,0.0,108.6,0,27.16,Azure DevOps,Artifacts storage
Production-Main,vm-0039243,2026-06,774.3,0.0,0,2826.15,Virtual Machines,E8s v3 memory-optimized
Customer-Portal,blob-0c83136,2026-06,0.0,5568.3,0,556.83,Blob Storage,Security audit logs
Customer-Portal,sqldb-0263872,2026-06,563.1,391.1,0,2283.79,SQL Database,Premium P1 analytics
Mobile-Backend,fd-0ef5396,2026-06,0.0,0.0,41760561,313.2,Front Door,Global load balancer
Production-Secondary,redis-0064522,2026-06,912.6,0.0,0,1110.37,Azure Cache for Redis,Premium P1 cache
Data-Science,sb-0e7b324,2026-06,0.0,0.0,25596367,63.98,Service Bus,Standard messaging
Internal-Tools,blob-0ba1272,2026-06,0.0,3109.5,8291778,404.23,Blob Storage,Build artifacts
DevOps-Central,redis-0ffe600,2026-06,664.3,0.0,0,808.24,Azure Cache for Redis,Premium P1 cache
Partner-Integration,sqldb-03a6150,2026-06,852.0,59.2,0,177.08,SQL Database,Basic dev database
Production-Main,vm-08bc212,2026-06,1094.4,0.0,0,1553.97,Virtual Machines,F4s v2 compute node
Production-Secondary,sqldb-0ad7535,2026-06,482.0,167.5,0,806.54,SQL Database,Standard S3 production
Analytics-Platform,ado-07d3760,2026-06,0.0,107.2,0,26.8,Azure DevOps,Artifacts storage
Customer-Portal,blob-1177805,2026-06,0.0,4998.3,0,499.83,Blob Storage,Security audit logs
Customer-Portal,blob-0ddb390,2026-06,0.0,5107.1,0,510.71,Blob Storage,Security audit logs
Production-Main,appi-0031980,2026-06,0.0,0.0,66689700,833.62,Application Insights,APM telemetry
DR-Recovery,appi-0b7c490,2026-06,0.0,0.0,16693170,208.67,Application Insights,Custom metrics
Shared-Services,app-081b214,2026-06,885.2,0.0,0,1077.02,App Service,API app P2v3
Internal-Tools,blob-0299348,2026-06,0.0,2661.6,6653976,432.51,Blob Storage,Media content
Production-Secondary,app-0df4564,2026-06,623.3,0.0,0,94.79,App Service,Web app B1
Shared-Services,vm-0c46763,2026-06,887.7,0.0,0,1080.05,Virtual Machines,D4s v3 CI runner
Customer-Portal,blob-0934606,2026-06,0.0,5048.1,0,504.81,Blob Storage,Security audit logs
Finance-Systems,func-081f530,2026-06,0.0,0.0,5584949,83.78,Azure Functions,API handlers
DR-Recovery,sqldb-02f5967,2026-06,941.9,654.1,0,3820.05,SQL Database,Premium P1 analytics
Finance-Systems,blob-049b662,2026-06,0.0,7909.8,79096,237.29,Blob Storage,Backup storage
DevOps-Central,appi-09af973,2026-06,0.0,0.0,69187638,864.84,Application Insights,APM telemetry
Data-Science,appi-014c926,2026-06,0.0,0.0,55093500,688.67,Application Insights,APM telemetry
DevOps-Central,sentinel-00e6345,2026-06,0.0,0.0,112621016,2815.53,Microsoft Sentinel,SIEM detection
Mobile-Backend,vm-0a18879,2026-06,905.1,0.0,0,1285.29,Virtual Machines,F4s v2 compute node
DevOps-Central,vm-0952136,2026-06,673.8,0.0,0,204.95,Virtual Machines,B2s development VM
Production-Main,sentinel-0037520,2026-06,0.0,0.0,47400414,1185.01,Microsoft Sentinel,Log analytics
Production-Main,app-0027586,2026-06,568.7,0.0,0,691.93,App Service,API app P2v3
Mobile-Backend,azmon-0aa4532,2026-06,0.0,332.4,44324416,470.94,Azure Monitor,Logs and metrics
DevOps-Central,sentinel-0d56288,2026-06,0.0,0.0,35940042,898.5,Microsoft Sentinel,Log analytics
Partner-Integration,ado-0a99621,2026-06,608.2,0.0,0,304.15,Azure DevOps,Pipelines hosted
Shared-Services,appi-01b6184,2026-06,0.0,0.0,44335224,554.19,Application Insights,APM telemetry
Finance-Systems,sqldb-020e330,2026-06,785.3,545.3,0,3184.73,SQL Database,Premium P1 analytics
Production-Secondary,blob-005e473,2026-06,0.0,14585.6,36464,116.68,Blob Storage,Archive tier
Security-Ops,sentinel-015b316,2026-06,0.0,0.0,91099355,2277.48,Microsoft Sentinel,SIEM detection
Data-Science,blob-0155153,2026-06,0.0,2234.7,5586783,363.14,Blob Storage,Media content
Production-Secondary,sqldb-0481357,2026-06,472.7,164.1,0,791.03,SQL Database,Standard S3 production
Partner-Integration,azmon-07d2786,2026-06,0.0,220.6,29416370,312.56,Azure Monitor,Logs and metrics
Finance-Systems,func-021e999,2026-06,0.0,0.0,9848352,147.73,Azure Functions,Event processors
Internal-Tools,blob-0833224,2026-06,0.0,2688.5,6721133,436.88,Blob Storage,Media content
DevOps-Central,kv-05de284,2026-06,0.0,0.0,343783,1.04,Key Vault,Certificate store
Mobile-Backend,fd-0636613,2026-06,0.0,0.0,42962891,322.22,Front Door,Global load balancer
Analytics-Platform,eh-10c2682,2026-06,0.0,335.0,0,83.74,Event Hubs,Capture to storage
Production-Main,eh-04d7845,2026-06,0.0,758.8,0,189.7,Event Hubs,Capture to storage
Production-Main,cosmos-002b765,2026-06,1005.6,69.8,20949068,680.84,Cosmos DB,Config store
Production-Main,func-0a97169,2026-06,0.0,0.0,2761459,41.42,Azure Functions,Webhook processor
Finance-Systems,vm-0217306,2026-06,745.5,0.0,0,1813.94,Virtual Machines,D8s v3 application server
Analytics-Platform,eh-0553442,2026-06,621.7,0.0,25906369,283.68,Event Hubs,Standard throughput units
DR-Recovery,appi-045d659,2026-06,0.0,0.0,21883623,273.55,Application Insights,Custom metrics
DevOps-Central,kv-00d5790,2026-06,0.0,0.0,381964,1.15,Key Vault,Certificate store
Finance-Systems,aks-111d841,2026-06,1357.9,0.0,0,2036.99,AKS,Staging K8s cluster
Partner-Integration,appi-0518688,2026-06,0.0,0.0,62113774,776.42,Application Insights,APM telemetry
Production-Secondary,blob-0060140,2026-06,0.0,6902.7,0,690.27,Blob Storage,Security audit logs
DevOps-Central,aks-040b567,2026-06,357.3,0.0,0,535.99,AKS,Dev K8s cluster
Partner-Integration,redis-0521982,2026-06,601.0,0.0,0,304.66,Azure Cache for Redis,Standard C2 cache
Shared-Services,sb-01c6216,2026-06,629.8,0.0,8747281,478.91,Service Bus,Premium messaging
Customer-Portal,ado-0264345,2026-06,469.3,0.0,0,234.63,Azure DevOps,Pipelines hosted
Production-Secondary,app-0e45756,2026-06,710.7,0.0,0,108.08,App Service,Web app B1
Finance-Systems,app-0228579,2026-06,932.9,0.0,0,141.88,App Service,Web app B1
Customer-Portal,app-05eb327,2026-06,563.7,0.0,0,342.95,App Service,Web app P1v3
Security-Ops,eh-015c222,2026-06,0.0,451.3,0,112.83,Event Hubs,Capture to storage
Production-Secondary,blob-0911942,2026-06,0.0,11917.8,29794,95.34,Blob Storage,Archive tier
DR-Recovery,appi-095b779,2026-06,0.0,0.0,22298847,278.74,Application Insights,Custom metrics
Finance-Systems,blob-07a1954,2026-06,0.0,2067.9,5169877,336.04,Blob Storage,Media content
Production-Secondary,blob-0618339,2026-06,0.0,12196.0,121959,365.88,Blob Storage,Backup storage
Data-Science,blob-071e425,2026-06,0.0,10002.7,100026,300.08,Blob Storage,Backup storage
Customer-Portal,aks-0258969,2026-06,371.3,0.0,0,556.99,AKS,Dev K8s cluster
Production-Main,blob-105c374,2026-06,0.0,27397.5,68492,219.18,Blob Storage,Archive tier
Internal-Tools,vm-08d6906,2026-06,730.6,0.0,0,444.48,Virtual Machines,D2s v3 utility server
DR-Recovery,sqldb-0884129,2026-06,703.2,48.9,0,146.15,SQL Database,Basic dev database
Production-Secondary,cosmos-0ffc140,2026-06,745.3,207.0,41406191,1682.13,Cosmos DB,User data store
Internal-Tools,vm-029c164,2026-06,752.5,0.0,0,1068.6,Virtual Machines,F4s v2 compute node
Production-Secondary,redis-08fd634,2026-06,1213.6,0.0,0,615.22,Azure Cache for Redis,Standard C2 cache
Internal-Tools,sentinel-04a2413,2026-06,0.0,0.0,80192609,2004.81,Microsoft Sentinel,SIEM detection
Customer-Portal,eh-0268839,2026-06,0.0,631.0,0,157.75,Event Hubs,Capture to storage
Mobile-Backend,sb-033f307,2026-06,0.0,0.0,15045624,37.61,Service Bus,Standard messaging
Production-Main,kv-0023471,2026-06,0.0,0.0,389153,1.17,Key Vault,Certificate store
Production-Secondary,aks-0057749,2026-06,529.6,0.0,0,2383.21,AKS,Production K8s cluster
Security-Ops,vm-015f925,2026-06,924.0,0.0,0,1312.09,Virtual Machines,F4s v2 compute node
Shared-Services,sb-09c4900,2026-06,719.5,0.0,9992875,547.11,Service Bus,Premium messaging
Production-Secondary,app-077f551,2026-06,616.9,0.0,0,93.82,App Service,Web app B1
Customer-Portal,eh-0269959,2026-06,740.6,0.0,30859298,337.91,Event Hubs,Standard throughput units
Partner-Integration,sqldb-0fa2831,2026-06,610.8,424.1,0,2477.1,SQL Database,Premium P1 analytics
Production-Main,cosmos-0c6d534,2026-06,1145.0,79.5,23853654,775.24,Cosmos DB,Config store
Production-Secondary,redis-0a42245,2026-06,978.5,0.0,0,496.06,Azure Cache for Redis,Standard C2 cache
DevOps-Central,azmon-0c06770,2026-06,0.0,303.5,40465381,429.95,Azure Monitor,Logs and metrics
DevOps-Central,aks-0f42341,2026-06,461.0,0.0,0,691.59,AKS,Dev K8s cluster
Customer-Portal,blob-045f799,2026-06,0.0,5384.4,0,538.44,Blob Storage,Security audit logs
Internal-Tools,blob-0aac997,2026-06,0.0,3293.4,8782234,428.13,Blob Storage,Build artifacts
Customer-Portal,appi-062c764,2026-06,0.0,0.0,44656078,558.2,Application Insights,APM telemetry
